#{"t_start": 1747577978.1583893, "env_id": "KukaBulletEnv-v0"}
r,l,t,success
-902.205615,854,286.983677,False
-1442.878745,917,288.058037,False
-1000.561734,841,289.967923,False
-1176.186798,905,291.151636,False
-1309.302085,918,292.294745,False
-1428.383872,921,294.248405,False
-1194.283934,906,295.355004,False
-655.400275,890,297.371376,False
-827.748859,882,298.596056,False
-1062.043091,898,300.609926,False
-1412.291133,945,301.794873,False
-674.732387,824,303.731636,False
-830.883412,899,304.810058,False
-810.832517,896,305.900876,False
-1350.428889,894,307.910129,False
-1339.834687,1000,308.710181,False
-786.948931,907,310.789236,False
-593.062505,943,311.921135,False
-761.834188,918,313.976722,False
-1328.47493,886,315.07509,False
-1118.564092,839,317.033359,False
-855.737837,848,318.139211,False
-797.663987,860,319.258541,False
-1263.646167,912,321.174171,False
-1287.365613,1000,321.941068,False
-1484.147878,953,323.988605,False
-1235.326967,895,325.084301,False
-1106.706527,891,327.084262,False
-1098.994072,657,328.030703,False
-886.589485,821,329.137799,False
-981.808353,907,331.111618,False
-1040.047398,892,332.233638,False
-1027.996555,836,334.182608,False
-1375.23769,949,335.356812,False
-1398.282563,1000,336.966512,False
-1384.471607,1000,337.711853,False
-1445.536133,1000,339.302021,False
-1213.531259,902,340.352268,False
-652.007713,945,341.558795,False
-1454.323382,1000,343.164827,False
-1253.833035,952,344.340084,False
-1056.457843,1000,345.984554,False
-1491.198846,1000,346.713888,False
-1047.595898,1000,348.315766,False
-1230.893327,856,349.393417,False
-1045.641735,944,351.378922,False
-1117.669902,936,352.597969,False
-1046.955926,806,354.434342,False
-1010.178679,840,355.525047,False
-621.178143,814,356.599353,False
-1120.768246,788,358.377573,False
-955.070664,895,359.513065,False
-1114.84618,860,361.553603,False
-1057.206643,864,362.631612,False
-1363.349908,926,364.560039,False
-1045.623777,897,365.646933,False
-745.543578,991,366.852546,False
-739.690789,909,368.787107,False
-1113.387473,850,369.900143,False
-1145.927301,899,371.864879,False
-843.592146,848,372.897969,False
-1700.692905,979,374.898013,False
-651.015758,961,376.09861,False
-983.873295,880,377.996213,False
-1010.695175,867,379.066165,False
-582.989628,886,380.22186,False
-1181.172798,657,381.968583,False
-975.36002,979,383.209079,False
-1060.782504,875,385.25823,False
-1036.309087,1000,386.052531,False
-1068.356109,1000,387.744807,False
-962.168035,890,388.833664,False
-769.207864,933,390.88546,False
-1119.889079,825,391.856072,False
-1615.172529,986,392.959762,False
-838.937858,829,394.79763,False
-811.226398,871,395.804778,False
-883.297391,770,397.57953,False
-1149.302568,980,398.674625,False
-954.666497,1000,400.303392,False
-1208.568289,1000,401.034389,False
-1161.326899,911,402.089829,False
-814.506828,902,404.043929,False
-999.887354,942,405.165509,False
-795.059985,886,407.094887,False
-1052.86833,503,407.802085,False
-744.139212,917,409.88513,False
-1283.981483,921,410.962816,False
-593.015431,880,411.98308,False
-1093.133898,1000,413.530962,False
-1498.911939,1000,414.279997,False
-895.327294,1000,415.908164,False
-1196.211743,989,417.126199,False
-1018.739456,910,419.068854,False
-883.915523,845,420.180659,False
-912.936005,834,422.06913,False
-883.244287,1000,422.803068,False
